Unnamed: 0.1,Unnamed: 0,Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.
0.0,0.0,1,1.151,2.474,1.163,1.156,1.14,1.143,2024-11-14 14:05:07.649958,1
1.0,1.0,2,1.124,1.179,1.142,1.135,1.109,1.112,2024-11-14 14:05:07.649958,1
2.0,2.0,3,3.151,3.088,3.136,3.116,3.182,3.17,2024-11-14 14:05:07.649958,1
3.0,3.0,4,1.081,1.269,1.094,1.085,1.096,1.05,2024-11-14 14:05:07.649958,1
4.0,4.0,5,1.128,1.147,1.208,1.105,1.102,1.097,2024-11-14 14:05:07.649958,1
5.0,,1,1.148,2.43,1.203,1.142,1.126,1.122,2024-11-14 14:07:36.111500,2
6.0,,2,1.106,1.137,1.134,1.103,1.086,1.1,2024-11-14 14:07:36.111500,2
7.0,,3,3.181,3.06,3.121,3.091,3.283,3.228,2024-11-14 14:07:36.111500,2
8.0,,4,1.088,1.276,1.117,1.097,1.091,1.045,2024-11-14 14:07:36.111500,2
9.0,,5,1.091,1.111,1.065,1.087,1.103,1.11,2024-11-14 14:07:36.111500,2
,,4,0.0,8.823,,,,,2024-11-17 08:35:11.483156,3
,,4,0.0,6.623,,,,,2024-11-17 08:40:44.852192,4
,,4,0.0,6.742,,,,,2024-11-17 08:43:12.566824,5
,,1,0.0,41.791,,,,,2024-11-17 08:52:59.231750,6
,,1,0.0,43.62,,,,,2024-11-17 08:53:44.546210,7
,,1,0.0,40.717,,,,,2024-11-17 09:11:16.399437,8
,,1,27.669791293800152,40.541,35.711,36.071,35.874,35.694,2024-11-17 09:57:57.889519,9
,,2,2.20835016020028,4.129,4.204,4.03,3.931,3.877,2024-11-17 09:57:57.889519,9
,,3,15.0760881643997,19.884,19.823,20.029,20.443,20.085,2024-11-17 09:57:57.889519,9
,,4,2.5175101142001948,4.431,4.381,4.489,4.35,4.368,2024-11-17 09:57:57.889519,9
,,5,16.90707722599982,22.422,22.077,21.999,23.125,22.334,2024-11-17 09:57:57.889519,9
,,2,2.1301836749997163,8.08,3.958,3.929,3.921,3.843,2024-11-17 10:09:03.439228,10
,,1,28.01723059540018,40.008,36.262,36.076,36.304,36.444,2024-11-17 10:10:46.375215,15
,,2,2.205197004799629,4.214,4.183,3.956,3.948,3.938,2024-11-17 10:10:46.375215,15
,,3,15.169852446399451,20.239,20.152,20.303,20.204,20.19,2024-11-17 10:10:46.375215,15
,,4,2.530149646599966,4.456,4.439,4.381,4.452,4.379,2024-11-17 10:10:46.375215,15
,,5,16.757272194400137,22.658,22.387,22.116,22.165,22.119,2024-11-17 10:10:46.375215,15
,,1,37.530033362499125,44.915,36.555,38.562,37.14,37.864,2024-11-17 10:26:29.075958,16
,,2,4.252892129998145,4.307,4.377,4.279,4.171,4.185,2024-11-17 10:26:29.075958,16
,,3,20.636075384749347,20.933,20.79,20.903,20.535,20.316,2024-11-17 10:26:29.075958,16
,,4,4.47419958250066,4.499,4.489,4.538,4.451,4.419,2024-11-17 10:26:29.075958,16
,,5,22.39925505775045,23.441,22.464,22.236,22.392,22.506,2024-11-17 10:26:29.075958,16
,,5,21.600943890000053,25.752,21.601,,,,2024-11-18 05:13:05.119313,17
,,1,34.988486182749966,37.227,35.096,34.867,34.883,35.108,2024-11-18 06:54:31.090729,18
,,2,3.818784332750056,4.202,3.967,3.783,3.729,3.795,2024-11-18 06:54:31.090729,18
,,3,19.38316600774988,19.73,19.358,19.306,19.471,19.398,2024-11-18 06:54:31.090729,18
,,4,4.232398463249865,4.294,4.201,4.238,4.269,4.221,2024-11-18 06:54:31.090729,18
,,5,21.56904006574996,21.901,21.591,21.526,21.647,21.512,2024-11-18 06:54:31.090729,18
,,1,35.69695128000001,39.979,35.697,,,,2024-11-21 05:42:25.632880,19
,,2,4.0085597659999905,3.971,4.009,,,,2024-11-21 05:42:25.632880,19
,,3,20.260126301000014,19.934,20.26,,,,2024-11-21 05:42:25.632880,19
,,4,4.587353940000014,4.554,4.587,,,,2024-11-21 05:42:25.632880,19
,,5,21.986750152000013,23.035,21.987,,,,2024-11-21 05:42:25.632880,19
